GP	GS	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	PF	TOV	PTS	YR	POS	W	H
809	800	36.0	8.64	17.67	0.489	0.48	1.66	0.288	6.14	8.01	0.766	1.26	3.6	4.86	5.84	1.69	0.9	2.35	3.39	23.9	1	2	100	193
869	857	35.8	6.94	14.05	0.494	0.31	0.93	0.333	5.03	6.29	0.8	2.19	6.37	8.56	2.0	0.83	1.06	2.42	2.03	19.23	1	4	107	211
847	727	31.2	6.13	12.5	0.49	0.06	0.23	0.251	2.87	3.5	0.818	1.92	5.12	7.04	2.23	0.77	0.81	2.48	1.73	15.18	1	4	109	206
947	527	28.2	3.74	7.57	0.494	0.47	1.37	0.341	1.05	1.46	0.714	1.25	3.34	4.59	3.61	0.65	0.52	2.25	1.85	9.0	1	4	113	203
421	74	13.4	2.17	4.95	0.439	0.62	1.63	0.382	0.52	0.67	0.783	0.73	1.92	2.65	0.6	0.32	0.32	1.87	0.6	5.49	9	4	106	206
751	562	22.2	2.23	4.2	0.531	0.0	0.02	0.0	1.06	1.77	0.596	1.71	4.17	5.88	1.04	0.33	1.19	2.77	1.59	5.52	1	5	122	208
508	87	17.9	2.63	5.96	0.442	0.9	2.07	0.434	0.53	0.63	0.835	0.32	1.34	1.66	0.82	0.35	0.05	1.53	0.64	6.69	9	3	97	203
2	0	2.5	0.5	1.5	0.333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	1.0	2	4	108	208
1	0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	5	128	229
731	297	20.2	3.31	7.77	0.425	0.71	2.04	0.346	0.97	1.27	0.765	0.33	1.45	1.78	1.39	0.54	0.15	1.72	0.96	8.29	1	2	91	191
11	0	5.0	0.36	0.82	0.444	0.0	0.0	0.0	0.27	0.45	0.6	0.45	0.55	1.0	0.18	0.0	0.27	1.27	0.18	1.0	4	5	129	208
638	91	16.5	1.77	4.47	0.397	1.14	2.87	0.398	0.79	0.94	0.844	0.34	1.57	1.91	0.54	0.34	0.32	1.37	0.34	5.48	1	3	98	203
914	346	26.4	3.45	7.79	0.443	1.96	4.53	0.432	1.18	1.34	0.881	0.32	2.81	3.13	1.83	0.71	0.34	2.19	1.1	10.04	1	3	96	201
67	12	9.4	1.34	2.82	0.476	0.0	0.04	0.0	0.6	1.22	0.488	1.12	1.67	2.79	0.33	0.25	0.12	1.22	0.66	3.28	2	5	118	201
13	4	6.2	0.62	1.31	0.471	0.0	0.0	0.0	0.08	0.15	0.5	0.15	0.46	0.62	0.08	0.0	0.0	1.46	0.69	1.31	1	5	111	213
861	776	31.2	6.79	13.03	0.521	0.0	0.02	0.071	2.65	3.67	0.722	2.37	7.15	9.51	2.24	0.89	0.41	3.03	2.12	16.23	1	4	121	206
73	0	7.8	1.07	2.29	0.467	0.0	0.01	0.0	0.58	0.9	0.636	1.04	1.53	2.58	0.15	0.14	0.22	2.12	0.56	2.71	2	5	118	208
162	5	11.6	1.52	3.27	0.466	0.01	0.03	0.2	0.88	1.33	0.657	1.1	1.85	2.94	0.25	0.23	0.36	2.0	0.67	3.93	4	4	118	203
1	0	6.0	2.0	3.0	0.667	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	4.0	1	3	111	201
10	0	11.0	1.0	3.1	0.323	0.0	0.0	0.0	0.7	1.2	0.583	1.2	1.3	2.5	0.3	0.3	0.4	1.9	0.2	2.7	2	4	125	206
44	4	7.4	0.34	1.2	0.283	0.0	0.0	0.0	0.48	1.07	0.447	0.61	0.95	1.57	0.36	0.32	0.14	1.34	0.39	1.16	2	4	113	211
113	26	18.9	2.48	5.77	0.429	0.4	1.15	0.346	1.13	1.33	0.853	0.27	1.44	1.72	3.79	0.74	0.04	2.46	1.96	6.49	3	1	79	183
886	694	24.4	3.17	6.09	0.521	0.0	0.01	0.083	1.35	1.91	0.706	2.58	5.25	7.84	0.52	0.49	1.74	2.94	1.43	7.69	1	5	113	211
108	0	6.5	0.94	2.66	0.352	0.23	0.69	0.333	0.11	0.19	0.6	0.2	0.38	0.58	0.22	0.2	0.04	0.77	0.34	2.21	4	2	84	196
82	4	12.9	0.82	2.7	0.303	0.16	0.54	0.295	0.7	1.01	0.687	0.82	1.51	2.33	0.82	0.59	0.15	1.15	0.5	2.49	3	2	91	198
25	0	5.0	0.44	1.88	0.234	0.0	0.24	0.0	0.32	0.4	0.8	0.2	0.48	0.68	0.68	0.24	0.0	0.28	0.52	1.2	3	2	88	193
27	0	5.0	0.48	2.07	0.232	0.0	0.22	0.0	0.22	0.44	0.5	0.19	0.81	1.0	0.3	0.0	0.22	0.7	0.37	1.19	4	4	110	206
737	211	21.9	2.91	7.02	0.415	1.32	3.48	0.378	0.83	1.09	0.758	0.89	2.89	3.78	1.35	0.73	0.36	2.11	1.13	7.98	1	4	107	208
943	741	28.6	3.25	5.51	0.59	0.0	0.01	0.0	2.24	3.47	0.646	3.18	6.08	9.26	0.83	0.57	1.3	2.96	1.5	8.74	1	5	109	216
27	4	9.9	1.19	3.33	0.356	0.15	0.56	0.267	0.33	0.37	0.9	0.19	0.59	0.78	1.48	0.7	0.04	1.11	0.63	2.85	3	1	80	185
341	214	18.2	2.97	5.96	0.498	0.0	0.02	0.167	1.25	1.79	0.701	1.65	2.24	3.89	0.52	0.2	0.39	2.14	0.8	7.19	8	5	114	218
315	168	15.9	1.84	3.76	0.49	0.0	0.0	0.0	1.07	1.63	0.657	1.38	2.54	3.93	0.32	0.23	0.71	2.19	0.85	4.75	7	5	129	218
95	1	10.2	1.02	2.83	0.361	0.0	0.02	0.0	0.6	1.07	0.559	0.88	1.62	2.51	0.39	0.31	0.45	1.72	0.76	2.64	3	5	116	216
592	395	19.8	1.51	2.74	0.552	0.0	0.01	0.0	0.85	1.52	0.557	1.88	4.31	6.19	0.43	0.27	1.41	2.71	0.97	3.87	1	5	111	216
436	256	20.1	2.87	6.26	0.459	0.01	0.03	0.231	1.73	2.45	0.704	1.98	3.3	5.28	0.51	0.29	1.02	2.9	1.23	7.48	9	5	120	213
187	58	21.7	3.5	8.3	0.422	0.22	0.65	0.339	1.81	2.23	0.813	0.66	1.52	2.19	1.21	0.59	0.1	2.02	1.09	9.04	5	2	93	196
69	9	12.4	1.23	2.88	0.427	0.0	0.01	0.0	1.33	1.81	0.736	1.28	1.99	3.26	0.12	0.25	0.93	2.12	0.58	3.8	5	5	116	213
948	836	32.7	4.87	11.71	0.416	1.2	3.5	0.342	2.68	3.74	0.716	1.21	3.42	4.62	2.75	1.79	0.55	2.67	1.87	13.62	1	3	118	201
961	684	33.4	5.01	10.81	0.463	0.69	2.21	0.312	2.6	3.75	0.693	1.89	6.49	8.39	3.7	0.88	0.93	3.03	2.34	13.3	1	4	104	208
1041	867	33.3	6.31	12.6	0.501	0.0	0.02	0.1	3.48	4.73	0.736	3.16	5.46	8.62	2.08	0.9	1.75	2.96	1.97	16.1	1	4	115	206
1280	935	31.2	4.69	10.19	0.46	0.15	0.69	0.218	3.12	3.87	0.807	1.07	2.65	3.72	6.62	1.2	0.18	2.24	2.42	12.65	1	1	91	191
15	6	10.1	0.53	1.73	0.308	0.0	0.0	0.0	0.67	1.07	0.625	0.73	1.67	2.4	0.47	0.13	0.2	2.47	1.33	1.73	4	5	113	221
142	1	8.5	0.96	2.92	0.33	0.28	1.11	0.255	0.46	0.64	0.714	0.12	0.54	0.65	1.4	0.24	0.04	0.88	0.75	2.67	4	1	89	188
797	546	30.0	3.95	8.33	0.474	0.46	1.49	0.31	3.48	4.61	0.754	1.76	3.7	5.46	2.72	1.38	1.83	2.01	1.9	11.83	1	4	107	206
142	0	9.7	1.15	2.84	0.404	0.01	0.08	0.182	0.68	0.88	0.768	0.63	1.28	1.92	0.2	0.3	0.32	1.09	0.3	2.99	3	4	111	208
159	20	11.7	1.46	3.67	0.397	0.23	0.7	0.333	0.42	0.58	0.71	0.45	0.87	1.32	0.6	0.37	0.23	2.11	0.62	3.57	4	3	98	201
199	23	19.1	2.62	6.83	0.383	0.55	1.71	0.321	1.16	1.59	0.726	0.59	1.28	1.87	2.68	0.88	0.16	1.94	1.3	6.94	4	1	86	193
471	116	20.8	2.75	6.48	0.424	0.9	2.59	0.349	0.66	0.94	0.704	1.17	3.05	4.22	0.87	0.65	0.31	1.85	0.82	7.06	8	3	99	203
15	0	6.9	0.73	1.87	0.393	0.0	0.0	0.0	0.73	1.13	0.647	0.73	1.47	2.2	0.2	0.33	0.07	0.87	0.2	2.2	5	4	107	208
500	393	26.3	3.58	8.22	0.435	0.0	0.0	0.0	1.12	1.87	0.597	1.9	4.93	6.83	0.65	0.45	1.39	3.04	1.8	8.27	9	5	122	213
1279	1242	35.1	6.68	14.96	0.446	1.62	4.39	0.37	5.38	6.67	0.806	0.85	4.91	5.76	3.64	1.35	0.57	2.75	2.72	20.35	1	3	107	201
587	84	15.0	2.12	4.83	0.439	0.0	0.01	0.125	0.66	0.84	0.791	0.99	2.34	3.33	0.58	0.34	0.36	2.24	0.64	4.91	1	5	119	211
353	64	22.6	3.34	6.68	0.5	0.0	0.05	0.053	1.48	2.3	0.645	1.86	4.08	5.94	0.91	0.52	1.62	2.87	1.33	8.16	6	5	100	211
212	206	35.3	5.75	13.32	0.432	1.36	3.38	0.402	2.5	3.19	0.784	0.84	2.03	2.87	2.6	1.0	0.4	2.6	1.92	15.36	6	2	86	196
243	46	16.3	1.72	4.51	0.382	0.62	1.66	0.371	0.38	0.46	0.83	0.23	0.98	1.21	2.16	0.51	0.04	1.2	0.86	4.45	6	2	84	188
811	593	22.2	3.17	6.31	0.502	0.0	0.02	0.077	0.47	0.8	0.585	1.87	3.24	5.11	1.03	0.41	1.15	2.7	0.92	6.81	1	5	116	213
249	80	16.6	2.21	5.12	0.432	0.19	0.59	0.327	1.2	1.83	0.659	0.85	1.57	2.43	1.01	0.65	0.25	1.81	1.02	5.82	6	3	90	196
153	16	14.3	2.07	5.31	0.39	0.37	1.29	0.289	0.94	1.44	0.652	0.55	1.14	1.69	0.93	0.46	0.31	2.07	1.07	5.46	6	2	91	198
837	428	21.1	2.56	5.24	0.488	0.01	0.09	0.162	0.94	1.36	0.69	1.64	3.48	5.12	0.62	0.5	0.85	2.63	0.84	6.07	1	4	104	211
432	278	31.0	5.76	13.43	0.429	0.14	0.56	0.25	1.97	2.44	0.808	0.89	2.22	3.11	2.13	1.06	0.26	2.04	1.58	13.64	8	2	95	201
733	269	17.8	1.8	3.77	0.477	0.0	0.0	0.0	0.48	0.96	0.499	1.77	2.95	4.72	0.47	0.36	1.62	2.15	0.81	4.08	1	5	113	208
236	145	20.4	3.05	7.31	0.417	0.08	0.32	0.237	1.58	2.24	0.703	1.21	2.08	3.29	1.13	0.78	0.36	2.06	1.31	7.75	8	3	101	198
541	246	19.6	2.08	4.1	0.507	0.0	0.02	0.077	1.32	2.05	0.644	1.63	3.68	5.31	0.45	0.54	1.27	2.49	0.83	5.47	1	5	116	211
155	23	13.9	1.95	4.74	0.413	0.03	0.19	0.138	1.31	1.74	0.755	1.15	2.3	3.45	0.82	0.5	0.42	2.41	0.95	5.25	3	5	115	213
60	6	13.5	2.17	6.4	0.339	0.5	1.47	0.341	1.38	1.7	0.814	0.27	0.95	1.22	0.77	0.45	0.2	1.72	0.98	6.22	3	2	95	191
16	0	6.9	0.81	1.81	0.448	0.0	0.0	0.0	0.19	0.5	0.375	0.5	0.62	1.12	0.19	0.12	0.06	1.31	0.56	1.81	7	5	111	213
141	36	14.0	2.11	5.15	0.409	0.51	1.77	0.288	0.45	0.74	0.606	0.4	1.01	1.42	0.88	0.62	0.5	1.45	0.79	5.17	6	2	88	193
973	786	29.5	3.87	8.3	0.466	0.02	0.09	0.205	1.76	2.62	0.67	2.68	7.09	9.78	1.89	0.99	2.39	2.76	1.4	9.52	1	5	109	211
1300	1150	35.6	6.59	14.58	0.452	2.29	5.71	0.4	3.38	3.78	0.894	0.95	3.11	4.06	3.35	1.12	0.19	2.2	2.08	18.85	1	2	93	196
445	143	17.1	2.1	4.55	0.462	0.0	0.02	0.111	1.13	1.79	0.63	1.41	3.29	4.69	0.57	0.3	0.71	2.01	0.91	5.34	1	4	113	206
225	23	11.1	1.4	3.34	0.421	0.0	0.02	0.0	0.89	1.34	0.668	1.07	1.93	3.0	0.2	0.15	0.27	1.56	0.64	3.7	6	5	116	211
1306	1158	36.4	8.79	19.55	0.449	1.33	4.03	0.331	6.31	7.54	0.836	1.13	4.16	5.29	4.76	1.46	0.48	2.52	3.01	25.21	1	2	96	198
381	45	16.1	3.02	6.55	0.462	0.04	0.13	0.294	1.53	2.06	0.74	0.86	1.92	2.78	0.74	0.35	0.57	1.85	1.23	7.61	7	4	102	203
74	0	7.1	1.38	2.92	0.472	0.0	0.01	0.0	0.69	1.24	0.554	0.58	1.35	1.93	0.45	0.11	0.35	1.38	1.12	3.45	4	5	147	224
371	58	12.3	1.41	3.21	0.438	0.04	0.16	0.259	0.58	0.84	0.696	1.19	1.94	3.13	0.6	0.37	0.59	2.17	0.66	3.44	8	5	107	213
756	321	19.5	1.77	3.65	0.486	0.0	0.01	0.1	1.1	1.94	0.569	1.95	3.53	5.48	0.59	0.25	1.71	2.48	0.9	4.65	1	5	127	218
708	150	21.4	2.83	6.56	0.431	0.38	1.09	0.345	1.56	1.87	0.835	0.32	1.44	1.76	3.45	0.93	0.08	2.28	1.31	7.59	1	1	83	180
135	23	9.8	1.19	2.93	0.408	0.01	0.03	0.25	0.96	1.23	0.783	0.8	1.32	2.12	0.24	0.1	0.09	1.79	0.51	3.36	3	5	121	213
462	170	19.6	2.76	5.74	0.481	0.0	0.02	0.0	1.77	2.77	0.637	1.82	2.56	4.38	0.91	0.45	0.24	2.48	1.4	7.29	9	4	116	203
51	0	7.9	0.76	2.33	0.328	0.35	1.29	0.273	0.55	0.69	0.8	0.04	0.45	0.49	0.96	0.33	0.02	0.75	0.9	2.43	2	2	85	188
472	151	15.8	1.84	3.92	0.47	0.02	0.08	0.211	0.66	1.05	0.63	1.19	2.41	3.61	0.56	0.44	0.65	1.97	0.6	4.36	9	5	107	211
395	341	30.6	5.06	10.65	0.475	0.01	0.07	0.074	2.39	3.41	0.703	2.17	4.78	6.95	1.58	0.51	0.76	3.46	1.88	12.52	7	5	125	213
1450	1413	34.7	7.23	14.55	0.497	0.12	0.44	0.276	3.37	4.27	0.79	2.21	7.88	10.09	3.74	1.28	1.4	2.44	2.19	17.95	2	4	109	211
506	130	19.5	3.54	7.08	0.501	0.01	0.1	0.08	1.54	2.39	0.643	1.66	2.83	4.5	1.0	0.44	0.34	2.17	1.18	8.63	1	4	113	203
688	668	36.8	8.1	17.63	0.459	0.9	2.65	0.34	3.59	4.38	0.82	1.49	4.59	6.09	2.73	1.2	0.56	2.68	3.12	20.69	1	3	102	201
102	4	5.1	0.77	2.18	0.356	0.05	0.24	0.208	0.1	0.19	0.526	0.31	0.74	1.05	0.18	0.15	0.13	1.04	0.29	1.7	7	5	100	218
108	2	9.8	1.16	2.81	0.413	0.01	0.07	0.125	0.72	1.05	0.69	0.45	1.19	1.65	0.61	0.34	0.24	1.55	0.5	3.05	5	5	113	211
918	186	19.8	2.73	6.12	0.446	0.74	1.88	0.393	0.82	0.97	0.84	0.7	2.07	2.78	1.29	0.42	0.32	2.14	0.88	7.01	1	4	104	208
47	1	6.4	0.6	1.53	0.389	0.0	0.0	0.0	0.26	0.55	0.462	0.68	0.94	1.62	0.11	0.04	0.4	0.77	0.13	1.45	4	5	104	213
80	14	15.6	2.08	5.5	0.377	0.91	2.41	0.378	0.46	0.56	0.822	0.28	0.72	1.0	1.84	0.25	0.15	0.72	0.78	5.53	4	1	82	185
92	5	6.4	0.54	1.1	0.495	0.0	0.0	0.0	0.29	0.45	0.659	0.66	1.47	2.13	0.12	0.17	0.16	1.15	0.33	1.38	3	5	109	211
22	0	9.7	0.77	2.32	0.333	0.0	0.23	0.0	0.14	0.27	0.5	0.23	0.36	0.59	2.09	0.73	0.05	0.91	0.73	1.68	4	1	86	188
44	1	6.3	0.32	0.86	0.368	0.0	0.0	0.0	0.34	0.61	0.556	0.5	0.8	1.3	0.14	0.09	0.39	0.91	0.32	0.98	4	5	118	213
542	215	15.8	1.26	2.77	0.455	0.0	0.01	0.0	1.35	1.93	0.699	1.19	1.72	2.91	0.77	0.25	0.18	2.43	0.62	3.87	1	5	112	211
75	10	14.2	1.71	5.09	0.335	0.16	0.73	0.218	0.71	0.95	0.746	0.44	0.83	1.27	2.35	0.68	0.04	1.05	1.28	4.28	3	1	84	188
569	191	18.7	2.51	5.75	0.438	0.24	0.71	0.338	1.36	1.68	0.806	0.37	1.33	1.7	3.09	0.51	0.05	1.54	1.2	6.63	9	1	92	188
18	0	6.7	0.83	2.11	0.395	0.0	0.06	0.0	0.17	0.39	0.429	0.5	0.56	1.06	0.39	0.06	0.06	0.67	0.56	1.83	4	4	104	208
809	372	19.2	1.37	2.94	0.465	0.0	0.01	0.091	1.33	2.52	0.528	2.45	4.67	7.13	0.57	0.7	0.14	2.34	1.11	4.07	1	4	111	203
498	18	15.0	2.47	6.31	0.391	0.8	2.26	0.356	0.64	0.74	0.864	0.22	1.18	1.41	1.98	0.5	0.06	1.3	1.12	6.38	1	1	84	185
143	32	10.6	1.15	2.73	0.423	0.0	0.01	0.0	1.26	1.75	0.72	1.02	1.66	2.68	0.22	0.27	0.19	1.78	0.66	3.57	6	5	122	206
706	479	28.1	3.66	8.43	0.434	1.35	3.34	0.406	1.25	1.56	0.799	0.58	2.21	2.79	1.71	0.69	0.18	2.61	0.99	9.91	1	2	93	196
623	181	19.6	1.97	4.88	0.404	0.19	0.74	0.25	0.7	0.98	0.706	0.39	1.7	2.09	3.79	0.96	0.18	1.77	1.54	4.83	1	1	86	185
35	0	6.6	0.69	2.14	0.32	0.09	0.54	0.158	0.37	0.49	0.765	0.23	0.46	0.69	1.26	0.29	0.0	0.71	0.6	1.83	2	1	82	180
153	56	10.7	0.76	1.89	0.401	0.07	0.37	0.179	0.28	0.49	0.573	0.61	1.1	1.71	0.41	0.22	0.29	1.58	0.3	1.86	8	5	107	208
456	109	16.7	2.51	5.21	0.481	0.01	0.08	0.111	1.3	1.96	0.665	1.1	1.74	2.84	1.19	0.55	0.3	1.97	1.21	6.32	1	3	102	203
281	26	12.2	1.92	3.93	0.488	0.01	0.03	0.222	0.72	1.07	0.668	0.95	1.79	2.74	0.36	0.28	0.39	1.14	0.58	4.56	1	4	95	206
708	409	26.6	4.21	9.91	0.425	1.38	3.64	0.379	2.05	2.76	0.743	1.08	2.87	3.95	2.31	0.93	0.57	2.89	1.87	11.84	1	3	99	203
1094	740	30.7	4.95	10.9	0.454	0.18	0.63	0.282	3.14	4.35	0.721	1.07	2.66	3.73	7.3	1.48	0.2	1.87	2.62	13.22	1	1	79	191
9	0	1.6	0.11	0.89	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.33	0.0	0.0	0.0	0.22	0.22	0.22	2	5	118	211
942	361	23.0	2.75	6.81	0.403	0.46	1.5	0.304	1.0	1.27	0.782	0.82	2.56	3.38	4.16	0.79	0.27	2.07	1.77	6.95	1	1	86	198
470	314	24.2	4.43	8.85	0.5	0.29	0.88	0.328	2.83	3.6	0.786	1.56	5.75	7.31	2.05	0.79	1.05	2.74	1.78	11.98	7	5	127	221
122	30	11.6	1.25	2.67	0.469	0.0	0.0	0.0	0.91	1.33	0.685	0.62	1.51	2.13	0.31	0.32	0.39	1.89	0.7	3.42	4	5	116	213
841	393	23.5	2.7	6.27	0.431	0.81	2.21	0.369	1.7	2.27	0.75	0.89	2.57	3.46	1.29	1.04	0.24	2.36	0.99	7.92	1	2	102	201
186	41	9.9	1.17	2.57	0.456	0.0	0.02	0.0	0.74	1.05	0.704	0.97	1.61	2.58	0.32	0.29	0.71	1.63	0.68	3.09	7	5	111	213
749	230	18.1	2.28	4.97	0.459	0.0	0.03	0.091	1.67	2.4	0.699	1.26	2.58	3.84	0.84	0.34	0.67	2.21	1.07	6.24	1	5	113	208
1058	658	23.5	3.36	6.65	0.505	0.0	0.02	0.192	1.08	2.02	0.536	2.58	4.14	6.72	0.7	0.49	0.62	2.68	1.11	7.81	1	5	100	211
215	22	15.3	2.27	4.31	0.527	0.0	0.0	0.0	1.4	1.76	0.792	0.91	2.29	3.2	0.41	0.27	0.74	2.38	0.94	5.93	6	5	120	213
1178	1053	34.9	6.3	13.33	0.473	0.83	2.55	0.326	2.65	3.77	0.704	1.76	4.61	6.36	5.21	1.96	0.8	2.83	2.76	16.08	1	3	103	203
733	454	28.3	4.27	9.34	0.457	1.57	3.76	0.418	1.07	1.38	0.778	0.58	2.7	3.28	1.68	0.79	0.31	1.32	0.93	11.18	1	2	88	198
600	475	29.4	4.79	9.95	0.481	0.14	0.47	0.291	2.0	3.17	0.629	2.42	4.28	6.69	2.84	0.95	0.54	2.94	2.18	11.71	1	3	100	203
1282	1160	31.4	3.77	8.01	0.471	0.05	0.21	0.253	2.09	2.75	0.761	3.06	6.46	9.52	2.51	1.05	0.3	3.45	2.17	9.69	1	4	102	203
683	233	18.0	2.4	5.1	0.47	0.0	0.02	0.091	1.41	2.0	0.705	1.54	2.8	4.34	0.39	0.38	0.47	2.35	1.0	6.2	1	4	100	206
499	62	14.6	1.76	4.28	0.412	0.22	0.68	0.319	0.77	0.95	0.816	0.28	1.03	1.31	2.08	0.4	0.04	1.17	0.95	4.52	1	2	86	191
1389	1303	34.3	5.93	12.6	0.471	1.84	4.67	0.395	4.49	5.06	0.888	0.64	2.38	3.01	2.98	1.08	0.22	1.97	1.74	18.2	1	2	84	201
838	686	31.0	6.11	11.58	0.527	0.03	0.11	0.247	4.84	7.0	0.692	2.61	5.91	8.52	1.13	0.49	2.81	3.35	2.64	17.08	1	5	109	208
493	196	23.0	3.12	5.81	0.536	0.01	0.09	0.116	1.11	1.74	0.639	1.91	3.96	5.87	2.15	0.92	1.54	2.96	1.87	7.35	1	5	127	206
114	4	8.5	0.71	1.89	0.377	0.0	0.03	0.0	0.37	0.61	0.609	0.66	1.21	1.87	0.32	0.21	0.31	1.16	0.46	1.79	8	5	107	211
119	0	7.7	0.73	2.29	0.32	0.35	1.05	0.336	0.65	0.95	0.681	0.33	0.69	1.02	0.3	0.31	0.04	0.9	0.38	2.46	6	3	104	201
1476	1469	37.2	9.17	17.76	0.516	0.06	0.21	0.274	6.63	8.93	0.742	2.41	7.73	10.14	3.55	1.41	0.77	3.1	3.07	25.02	1	4	120	206
295	206	25.3	2.65	6.51	0.408	1.35	3.64	0.372	0.72	0.9	0.797	0.21	1.48	1.69	2.89	0.81	0.05	1.27	1.29	7.38	7	4	87	191
774	420	22.8	2.7	6.04	0.446	0.19	0.62	0.306	1.02	1.57	0.652	1.95	3.09	5.04	1.45	1.06	0.33	2.16	1.15	6.6	1	3	99	203
535	304	23.5	2.94	6.59	0.447	0.05	0.17	0.281	1.03	1.38	0.751	3.04	4.4	7.44	1.3	0.56	0.3	2.8	1.13	6.96	1	4	113	203
1207	1197	34.7	9.39	16.12	0.582	0.0	0.02	0.045	4.92	9.32	0.527	3.49	7.37	10.85	2.51	0.61	2.26	3.43	2.74	23.69	1	5	147	216
366	365	35.4	7.67	17.13	0.448	0.87	2.92	0.299	3.7	4.56	0.811	0.88	2.81	3.7	6.39	0.82	0.4	1.44	2.95	19.92	7	1	86	191
433	201	24.7	5.27	11.72	0.45	0.54	1.57	0.343	1.92	2.54	0.759	1.12	3.72	4.84	1.32	0.61	0.52	2.25	1.77	13.0	7	4	107	206
526	313	31.2	5.26	12.23	0.43	1.57	4.22	0.373	2.08	2.54	0.821	0.53	2.63	3.16	2.96	1.02	0.26	2.24	2.08	14.18	7	2	95	196
371	301	30.4	4.39	10.6	0.414	1.8	4.9	0.367	3.82	4.46	0.856	0.79	3.8	4.6	1.9	0.83	0.49	1.99	1.29	14.39	7	3	102	208
67	0	11.1	1.54	3.75	0.41	0.24	0.7	0.34	0.9	1.28	0.698	0.69	1.1	1.79	0.66	0.24	0.45	1.73	0.78	4.21	3	3	104	203
555	405	26.0	3.73	7.51	0.497	0.0	0.05	0.037	1.7	2.59	0.655	2.23	4.57	6.8	1.1	0.49	0.72	3.04	1.33	9.16	7	4	113	211
383	118	23.0	2.81	6.52	0.431	1.14	2.82	0.405	0.69	0.97	0.707	0.42	2.7	3.11	0.99	0.48	0.58	1.39	0.92	7.45	7	2	95	198
444	409	32.5	7.04	13.82	0.51	0.0	0.05	0.048	3.88	4.89	0.792	2.82	4.56	7.38	1.34	0.57	1.77	2.84	1.95	17.97	7	5	125	213
523	73	15.4	3.14	6.73	0.467	0.04	0.16	0.233	1.48	1.88	0.786	1.5	2.71	4.2	0.59	0.27	0.51	2.2	0.89	7.8	7	5	116	208
563	522	26.0	4.32	9.32	0.464	0.01	0.04	0.25	2.23	2.96	0.753	2.48	4.28	6.76	1.45	0.38	1.85	3.22	1.72	10.88	7	5	122	218
393	158	19.6	3.48	6.44	0.541	0.0	0.01	0.2	1.35	2.31	0.584	2.02	3.45	5.47	0.35	0.4	1.76	2.34	1.09	8.32	7	5	122	213
516	306	22.8	3.92	7.76	0.505	0.0	0.04	0.0	1.87	3.0	0.622	2.24	4.72	6.96	0.86	0.52	0.59	1.97	1.48	9.71	7	4	110	206
216	50	12.6	2.12	4.12	0.514	0.06	0.17	0.324	0.82	1.03	0.802	1.16	2.49	3.64	0.5	0.31	0.62	2.31	0.82	5.11	5	5	112	218
446	156	25.7	4.43	10.44	0.424	2.03	5.35	0.379	1.88	2.19	0.86	2.13	3.42	5.55	0.88	0.56	0.38	2.04	1.02	12.78	7	4	109	208
553	313	27.1	3.68	8.21	0.448	1.02	2.67	0.381	1.25	1.47	0.85	0.45	2.15	2.6	1.55	1.01	0.26	1.7	0.99	9.63	7	2	91	196
453	147	15.7	2.44	4.62	0.528	0.0	0.01	0.0	0.67	1.09	0.613	1.74	3.04	4.78	0.36	0.38	0.81	2.0	0.69	5.55	7	5	120	213
476	365	28.5	4.87	9.19	0.529	0.29	0.79	0.373	1.47	1.97	0.743	2.49	4.97	7.47	0.56	0.42	2.56	2.86	1.27	11.49	6	5	111	208
138	11	15.3	2.52	4.98	0.507	0.01	0.02	0.333	0.82	1.14	0.72	0.85	2.32	3.17	0.58	0.28	0.41	1.44	0.47	5.87	6	4	113	206
400	87	17.9	2.82	6.36	0.444	0.17	0.56	0.293	0.76	1.0	0.758	1.16	2.45	3.61	0.71	0.63	0.64	2.55	0.81	6.57	7	4	107	206
24	1	7.7	0.83	2.42	0.345	0.25	1.0	0.25	0.5	0.67	0.75	0.29	1.04	1.33	1.0	0.29	0.12	0.75	0.62	2.42	2	3	98	196
458	110	15.0	0.84	1.64	0.509	0.0	0.0	0.0	0.57	0.86	0.663	1.2	1.66	2.86	0.21	0.27	1.12	1.74	0.48	2.24	8	5	111	206
151	0	7.0	0.86	1.86	0.463	0.0	0.03	0.0	0.52	0.83	0.632	0.91	1.56	2.46	0.28	0.07	0.61	1.38	0.61	2.25	5	5	120	218
37	2	8.2	0.84	2.3	0.365	0.27	0.68	0.4	0.49	0.57	0.857	0.27	0.68	0.95	0.78	0.3	0.0	1.22	0.62	2.43	1	1	84	183
222	61	19.7	2.59	5.9	0.439	0.38	1.15	0.329	1.53	1.84	0.831	0.37	1.75	2.13	1.14	0.58	0.25	1.29	0.9	7.08	6	3	95	201
